"gillnet_pair <- rep(turtle_data[[1]], 2)",treatment <- ...,metric,value
1,Control,Total biomass BPUE,5.8928845470000004
2,Control,Total biomass BPUE,14.39497706
3,Control,Total biomass BPUE,75.998909190000006
4,Control,Total biomass BPUE,41.205570569999999
5,Control,Total biomass BPUE,39.001304320000003
6,Control,Total biomass BPUE,32.042621089999997
7,Control,Total biomass BPUE,11.833486519999999
8,Control,Total biomass BPUE,48.31866909
9,Control,Total biomass BPUE,30.986558859999999
10,Control,Total biomass BPUE,48.477400690000003
11,Control,Total biomass BPUE,12.34137084
12,Control,Total biomass BPUE,8.6931324249999999
13,Control,Total biomass BPUE,87.271322069999997
14,Control,Total biomass BPUE,77.857141799999994
15,Control,Total biomass BPUE,25.393380359999998
16,Control,Total biomass BPUE,66.502289540000007
17,Control,Total biomass BPUE,39.437350309999999
18,Control,Total biomass BPUE,20.58953503
19,Control,Total biomass BPUE,48.1999712
20,Control,Total biomass BPUE,20.09895547
21,Control,Total biomass BPUE,22.78166251
22,Control,Total biomass BPUE,6.5681970820000002
23,Control,Total biomass BPUE,0.56956618000000003
24,Control,Total biomass BPUE,0.326904217
25,Control,Total biomass BPUE,10.192285010000001
26,Control,Total biomass BPUE,4.0911996589999999
27,Control,Total biomass BPUE,74.693962240000005
28,Control,Total biomass BPUE,25.856372329999999
1,Illuminated,Total biomass BPUE,6.0026678520000001
2,Illuminated,Total biomass BPUE,4.8080936239999996
3,Illuminated,Total biomass BPUE,4.6740726920000002
4,Illuminated,Total biomass BPUE,21.374881569999999
5,Illuminated,Total biomass BPUE,26.678530460000001
6,Illuminated,Total biomass BPUE,15.265312460000001
7,Illuminated,Total biomass BPUE,20.33376123
8,Illuminated,Total biomass BPUE,9.0064734029999993
9,Illuminated,Total biomass BPUE,21.513600029999999
10,Illuminated,Total biomass BPUE,6.1397898580000003
11,Illuminated,Total biomass BPUE,36.095062429999999
12,Illuminated,Total biomass BPUE,42.209310090000002
13,Illuminated,Total biomass BPUE,39.76988961
14,Illuminated,Total biomass BPUE,7.8532195859999998
15,Illuminated,Total biomass BPUE,5.7623049220000002
16,Illuminated,Total biomass BPUE,4.6855002570000002
17,Illuminated,Total biomass BPUE,1.053632838
