gill_net_pair,treatment,Total biomass BPUE,Non-finfish biomass BPUE,Finfish biomass BPUE,Elasmobranch biomass BPUE,Humboldt squid biomass BPUE,turtle_biomass_bpue,Loggerhead turtle number BPUE,Total target fish biomass CPUE,Total primary target fish biomass CPUE,Halibut target biomass CPUE,Grouper target biomass CPUE,Total secondary target fish biomass CPUE,Market value of total target fish value MVPUE,Haulback time per 100 m net
1,Control,5.8928845470000004,0,5.8928845470000004,0,0,0,0,0,0,0,0,0,0,2.8901734104046244
2,Control,14.39497706,5.758,8.6369770579999994,5.758,0,0,0,0,0,0,0,0,0,8.2051282051282062
3,Control,75.998909190000006,68.145077720000003,7.8538314700000003,0,0,68.145077720000003,1.9634578674665941,0,0,0,0,0,0,17.894736842105264
4,Control,41.205570569999999,27.902722929999999,13.30284764,0,0,27.902722929999999,0.8314279775514446,0,0,0,0,0,0,10.457516339869281
5,Control,39.001304320000003,34.895899999999997,4.1054043199999999,0,34.895899999999997,0,0,0,0,0,0,0,0,10.404624277456648
6,Control,32.042621089999997,25.3672,6.6754210939999998,22.696999999999999,2.6701999999999999,0,0,0,0,0,0,0,0,13.06532663316583
7,Control,11.833486519999999,5.9169999999999998,5.9164865170000001,5.9169999999999998,0,0,0,0,0,0,0,0,0,8.5561497326203195
8,Control,48.31866909,34.439894199999998,13.8787749,0.51400000000000001,0,33.925894200000002,1.0280573998714928,0,0,0,0,0,0,28.571428571428569
9,Control,30.986558859999999,21.904199999999999,9.0823588609999995,0.53400000000000003,21.370200000000001,0,0,0,0,0,0,0,0,12.716763005780347
10,Control,48.477400690000003,42.507290930000003,5.9701097589999996,2.2959999999999998,8.2664000000000009,31.94489093,0.91848450057405273,2.0666013780000001,0.22962112514351318,0,0.22962112500000001,1.8369802529999999,4.1331802525832373,13.846153846153847
11,Control,12.34137084,2.6619999999999999,9.6793708410000008,2.6619999999999999,0,0,0,5.0816966729999997,2.4198427102238358,0,2.4198427100000002,2.661853963,17.422867513611617,12.631578947368421
12,Control,8.6931324249999999,0,8.6931324249999999,0,0,0,0,0.57957108099999999,0.57957108084613163,0.2898,0.28977108099999999,0,2.3181686467690525,15.032679738562091
13,Control,87.271322069999997,81.474903130000001,5.7964189429999999,0,42.314100000000003,39.160803129999998,1.1592896130870916,0,0,0,0,0,0,14.450867052023122
14,Control,77.857141799999994,77.267300000000006,0.58984180399999997,0.59,76.677300000000002,0,0,1.1796765300000001,0,0,0,1.1796765300000001,0.58982550995330552,12.820512820512821
15,Control,25.393380359999998,22.4634,2.9299803579999999,0,22.4634,0,0,0,0,0,0,0,0,8.4210526315789469
16,Control,66.502289540000007,57.485078870000002,9.0172106729999992,0,3.9451000000000001,53.539978869999999,1.6907361747094045,0,0,0,0,0,0,29.411764705882351
17,Control,39.437350309999999,38.627651919999998,0.80969838699999996,20.512,0,18.115651920000001,0.53979892490047465,0,0,0,0,0,0,7.5144508670520231
18,Control,20.58953503,20.132000000000001,0.45753503000000001,20.132000000000001,0,0,0,0,0,0,0,0,0,5.1282051282051286
19,Control,48.1999712,47.246644490000001,0.95332671300000005,15.253,0,31.993644490000001,0.95332671300893734,0,0,0,0,0,0,11.052631578947368
20,Control,20.09895547,18.44969764,1.6492578339999999,0,0,18.44969764,0.54975261132490383,1.6492578339999999,1.3743815283122596,0,1.374381528,0.27487630600000001,7.0643210555250135,6.5359477124183005
21,Control,22.78166251,7.7789999999999999,15.00266251,7.7789999999999999,0,0,0,4.4451999999999998,4.4451999999999998,4.4451999999999998,0,0,13.335700008489159,18.497109826589597
22,Control,6.5681970820000002,3.2839999999999998,3.2841970819999999,3.2839999999999998,0,0,0,0.82099999999999995,0.82099999999999995,0.82099999999999995,0,0,0.9852591246702499,4.0201005025125625
23,Control,0.56956618000000003,0,0.56956618000000003,0,0,0,0,7.1195772550000003,3.4174000000000002,3.4174000000000002,0,3.7021772550000001,13.726544948264404,3.2085561497326203
24,Control,0.326904217,0,0.326904217,0,0,0,0,0.98071265100000005,0,0,0,0.98099999999999998,1.1768551814318404,2.4844720496894408
25,Control,10.192285010000001,0,10.192285010000001,0,0,0,0,5.3792999999999997,5.3792999999999997,5.3792999999999997,0,0,16.137784593606231,12.716763005780347
26,Control,4.0911996589999999,0,4.0911996589999999,0,0,0,0,2.3012999999999999,2.3012999999999999,2.3012999999999999,0,0,6.903899424675048,8.2051282051282062
27,Control,74.693962240000005,0,74.693962240000005,0,0,0,0,27.63676603,13.942839622380525,13.1959,0.74693962199999997,13.69392641,54.217857389860988,41.05263157894737
28,Control,25.856372329999999,6.4640000000000004,19.392372330000001,6.4640000000000004,0,0,0,12.28178688,12.281786877828054,7.7568999999999999,4.5248868780000002,0,44.602456367162254,20.261437908496731
1,Illuminated,6.0026678520000001,0,6.0026678520000001,0,0,0,0,1.333926189,0,0,0,1.333926189,2.6678523788350401,2.3121387283236996
2,Illuminated,4.8080936239999996,0,4.8080936239999996,0,0,0,0,0,0,0,0,0,0,3.0150753768844223
3,Illuminated,4.6740726920000002,0,4.6740726920000002,0,0,0,0,0,0,0,0,0,0,2.1390374331550799
4,Illuminated,21.374881569999999,15.31108538,6.0637961889999996,0,0,15.31108538,0.75797452363406681,0,0,0,0,0,0,3.1055900621118009
5,Illuminated,26.678530460000001,25.077819030000001,1.600711427,3.7349999999999999,0,21.342819030000001,0.53357047576700756,0,0,0,0,0,0,4.0462427745664744
6,Illuminated,15.265312460000001,9.0638000000000005,6.2015124630000003,0.47699999999999998,8.5868000000000002,0,0,0.95412701300000002,0,0,0,0.95412701300000002,0.47704233750745401,5.6410256410256414
7,Illuminated,20.33376123,16.636713740000001,3.6970474969999998,0,0,16.636713740000001,0.46213093709884473,0,0,0,0,0,0,7.8947368421052637
8,Illuminated,9.0064734029999993,0,9.0064734029999993,0,0,0,0,0,0,0,0,0,0,9.1503267973856204
9,Illuminated,21.513600029999999,20.47829904,1.035300992,0.51800000000000002,2.5882000000000001,17.372099039999998,0.51764299887844023,0,0,0,0,0,0,10.404624277456648
10,Illuminated,6.1397898580000003,0,6.1397898580000003,0,0,0,0,2.631338511,1.5349474645957057,0,1.5349474649999999,1.0963910459999999,7.6747373229785287,3.0150753768844223
